"Description","Designation","TypeUnite","TypeProduit","Superficie","PrixUnitaire"
"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",150,2100
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",192,1312.5
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,920
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",184.4,2500
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",74,880
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+1 RDC HABITAT      ",400,1240.8
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",270,1485
"Jerada-Figuig                 ","98001-AMAL 1 A AIN BENI MATHAR          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",101,350
"Jerada-Figuig                 ","lotissement SITIR GUENFOUDA             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",107,930
"Agence Oujda                  ","8901-LOTIS ESSAADA MCO                  ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1995
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",190,2200
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",115,1155
"Berkane                       ","11251-C/C LAYMOUNE                      ","CONSTRUCTION USAGE COMM. ","CONSTR LOCAUX COMMERCIAUX               ",14,10357.14
"Jerada-Figuig                 ","98021-AMAL 3 A AIN BENI MATHAR          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",275,427.09
"Agence Oujda                  ","24586-JORF LAKHDER EXT FVIT             ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",50,2800
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",161.4,2500
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
