"","Description","Designation","TypeUnité","TypeProduit","Superficie","PrixUnitaire","PrixTotal"
"2354","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC HABITAT      ",270,1468.5,396495
"5816","Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",117,1450,169650
"5512","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",193.8,2400,465120
"5746","Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",114,1475,168150
"3489","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,850,68000
"4454","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",162,2310,374220
"4832","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",95.7,1400,133980
"1957","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",145,1320,191400
"5503","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",184.4,2300,424120
"6207","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1650,165000
"3687","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",100,950,95000
"703","Jerada-Figuig                 ","98021-AMAL 3 A AIN BENI MATHAR          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",147,375.43,55188
"5971","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1650,165000
"2493","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,800,56000
"4194","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",137,2205,302085
"776","Berkane                       ","11531-RYAD AKLIM                        ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",100,500,50000
"3497","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,850,68000
"238","Nador - Driouch               ","13382-AL HANAE LS TR2                   ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",66,4542.57,299809.57
"6526","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"6375","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"4205","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",162,1542.6,249901.2
"6612","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1300,130000
"767","Berkane                       ","1171-BENI SNASSEN                       ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",195,945.13,184300
"1703","Nador - Driouch               ","LOT FATH EXTENSION SELOUANE             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,4500,450000
"2443","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,800,56000
"4588","Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",85,603.53,51300
"2424","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,840,58800
"3226","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",110,1000,110000
"6","Berkane                       ","5381-C COM SAIDIA                       ","CONSTRUCTION USAGE COMM. ","CONSTR LOCAUX COMMERCIAUX               ",14,8571.43,120000
"1600","Nador - Driouch               ","12121-AL IRFANE V.ECO.TR1               ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT  STANDING VILLA SEMI ",193,4186.91,808074.21
"4573","Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",113,600,67800
"5421","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",162.75,2350,382462.5
"402","Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",129,1850,238650
"5098","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",92.16,1400,129024
"3102","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",141,1210,170610
"603","Jerada-Figuig                 ","98151-MASSIRA ANOUAL                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",100,60,6000
"1734","Nador - Driouch               ","LOT FATH EXTENSION SELOUANE             ","LOT HABITATION           ","LOTS PROMOTIONNELS VILLA ISOLEES        ",200,2700,540000
"2272","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",240,1375,330000
"5893","Jerada-Figuig                 ","Operation de ZAE TOUISSIT               ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",162,400,64800
"4731","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS  RECASEMENTS R+1 RDC HABITAT       ",60,300,18000
"3520","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,850,68000
"919","Jerada-Figuig                 ","7021-ZA ECONOMIQUE AIN BENI MATHAR      ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",156,500,78000
"5813","Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",107,1600,171200
"1503","Jerada-Figuig                 ","10522-AMAL TR2 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",96,465,44640
"3417","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",256,1755,449280
"4616","Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",85,603.53,51300
"2447","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,800,56000
"3472","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,850,68000
"1249","Berkane                       ","8191-ANAS FVIT TR3                      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",55,3050.91,167800
"4142","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",124,2205,273420
"2926","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",126,1210,152460
"2336","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",306,2092.5,640305
"2015","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1210,145200
"4582","Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",86,596.51,51300
"3530","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,850,68000
"6628","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"3129","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",130,1155,150150
"3232","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",120,1000,120000
"3987","Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",130,2275,295750
"252","Nador - Driouch               ","23151-ACHOUROUK FVIT a Al Aruit         ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",52,3204.71,166644.69
"1810","Taourirt                      ","99201-ANNASR A TAOURIRT                 ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",262,420.13,110075
"3295","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",240,1437.5,345000
"5669","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",161.4,2550,411570
"6718","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"2127","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",110,1210,133100
"6861","Berkane                       ","RESIDENCE FERMEE R+1 GREEN HOUSE SAIDIA ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING DUPLEX      ",109,6926.61,755000
"2823","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",105,1155,121275
"3632","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,850,68000
"4147","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",115,1736.1,199651.5
"2597","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,880,61600
"1132","Nador - Driouch               ","9251-ANNASSIM CM                        ","CONSTRUCTION USAGE COMM. ","CONSTR LOCAUX COMMERCIAUX               ",15,7900,118500
"5067","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",95.7,1400,133980
"4804","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",95.7,1400,133980
"3802","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1155,115500
"1278","Berkane                       ","8191-ANAS FVIT TR3                      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",55,3050.91,167800
"4395","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",165,2730,450450
"264","Taourirt                      ","98031-ANDALOUS 2  A  EL AIOUNE          ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",139,400,55600
"3797","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1210,121000
"3409","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",256,1755,449280
"6019","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",93,1800,167400
"6774","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",150,1900,285000
"614","Jerada-Figuig                 ","98151-MASSIRA ANOUAL                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",101,60,6060
"3675","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",120,950,114000
"6140","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",127,1800,228600
"3106","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",130,1155,150150
